Date, Open, High, Low, Close
07/05/16, 1542.96, 1542.96, 1542.96, 1542.96
07/01/16, 1555.23, 1555.23, 1555.23, 1555.23
06/30/16, 1551.61, 1551.61, 1551.61, 1551.61
06/29/16, 1530.26, 1530.26, 1530.26, 1530.26
06/28/16, 1503.70, 1503.70, 1503.70, 1503.70
06/27/16, 1477.18, 1477.18, 1477.18, 1477.18
06/24/16, 1507.70, 1507.70, 1507.70, 1507.70
06/23/16, 1564.71, 1564.71, 1564.71, 1564.71
06/22/16, 1542.84, 1542.84, 1542.84, 1542.84
06/21/16, 1545.90, 1545.90, 1545.90, 1545.90
06/20/16, 1542.90, 1542.90, 1542.90, 1542.90
06/17/16, 1532.67, 1532.67, 1532.67, 1532.67
06/16/16, 1537.01, 1537.01, 1537.01, 1537.01
06/15/16, 1533.41, 1533.41, 1533.41, 1533.41
06/14/16, 1535.14, 1535.14, 1535.14, 1535.14
06/13/16, 1538.31, 1538.31, 1538.31, 1538.31
06/10/16, 1551.17, 1551.17, 1551.17, 1551.17
06/09/16, 1567.33, 1567.33, 1567.33, 1567.33
06/08/16, 1571.00, 1571.00, 1571.00, 1571.00
06/07/16, 1565.33, 1565.33, 1565.33, 1565.33
06/06/16, 1562.77, 1562.77, 1562.77, 1562.77
06/03/16, 1554.04, 1554.04, 1554.04, 1554.04
06/02/16, 1559.19, 1559.19, 1559.19, 1559.19
06/01/16, 1553.56, 1553.56, 1553.56, 1553.56
05/31/16, 1550.56, 1550.56, 1550.56, 1550.56
05/27/16, 1550.96, 1550.96, 1550.96, 1550.96
05/26/16, 1543.58, 1543.58, 1543.58, 1543.58
05/25/16, 1544.36, 1544.36, 1544.36, 1544.36
05/24/16, 1533.84, 1533.84, 1533.84, 1533.84
05/23/16, 1512.31, 1512.31, 1512.31, 1512.31
05/20/16, 1515.26, 1515.26, 1515.26, 1515.26
05/19/16, 1504.08, 1504.08, 1504.08, 1504.08
05/18/16, 1510.27, 1510.27, 1510.27, 1510.27
05/17/16, 1509.75, 1509.75, 1509.75, 1509.75
05/16/16, 1524.54, 1524.54, 1524.54, 1524.54
05/13/16, 1509.50, 1509.50, 1509.50, 1509.50
05/12/16, 1521.85, 1521.85, 1521.85, 1521.85
05/11/16, 1523.28, 1523.28, 1523.28, 1523.28
05/10/16, 1538.31, 1538.31, 1538.31, 1538.31
05/09/16, 1519.75, 1519.75, 1519.75, 1519.75
05/06/16, 1518.33, 1518.33, 1518.33, 1518.33
05/05/16, 1513.19, 1513.19, 1513.19, 1513.19
05/04/16, 1514.42, 1514.42, 1514.42, 1514.42
05/03/16, 1523.67, 1523.67, 1523.67, 1523.67
05/02/16, 1538.88, 1538.88, 1538.88, 1538.88
04/29/16, 1526.96, 1526.96, 1526.96, 1526.96
04/28/16, 1535.09, 1535.09, 1535.09, 1535.09
04/27/16, 1549.83, 1549.83, 1549.83, 1549.83
04/26/16, 1546.71, 1546.71, 1546.71, 1546.71
04/25/16, 1542.05, 1542.05, 1542.05, 1542.05
04/22/16, 1545.89, 1545.89, 1545.89, 1545.89
04/21/16, 1543.50, 1543.50, 1543.50, 1543.50
04/20/16, 1551.55, 1551.55, 1551.55, 1551.55
04/19/16, 1550.23, 1550.23, 1550.23, 1550.23
04/18/16, 1545.59, 1545.59, 1545.59, 1545.59
04/15/16, 1535.78, 1535.78, 1535.78, 1535.78
04/14/16, 1536.37, 1536.37, 1536.37, 1536.37
04/13/16, 1536.72, 1536.72, 1536.72, 1536.72
04/12/16, 1519.20, 1519.20, 1519.20, 1519.20
04/11/16, 1504.79, 1504.79, 1504.79, 1504.79
04/08/16, 1509.01, 1509.01, 1509.01, 1509.01
04/07/16, 1504.39, 1504.39, 1504.39, 1504.39
04/06/16, 1522.82, 1522.82, 1522.82, 1522.82
04/05/16, 1506.48, 1506.48, 1506.48, 1506.48
04/04/16, 1521.83, 1521.83, 1521.83, 1521.83
04/01/16, 1527.76, 1527.76, 1527.76, 1527.76
03/31/16, 1518.85, 1518.85, 1518.85, 1518.85
03/30/16, 1520.40, 1520.40, 1520.40, 1520.40
03/29/16, 1514.55, 1514.55, 1514.55, 1514.55
03/28/16, 1498.62, 1498.62, 1498.62, 1498.62
03/24/16, 1497.74, 1497.74, 1497.74, 1497.74
03/23/16, 1497.54, 1497.54, 1497.54, 1497.54
03/22/16, 1509.97, 1509.97, 1509.97, 1509.97
03/21/16, 1510.86, 1510.86, 1510.86, 1510.86
03/18/16, 1509.64, 1509.64, 1509.64, 1509.64
03/17/16, 1502.23, 1502.23, 1502.23, 1502.23
03/16/16, 1490.98, 1490.98, 1490.98, 1490.98
03/15/16, 1481.85, 1481.85, 1481.85, 1481.85
03/14/16, 1487.31, 1487.31, 1487.31, 1487.31
03/11/16, 1489.73, 1489.73, 1489.73, 1489.73
03/10/16, 1464.39, 1464.39, 1464.39, 1464.39
03/09/16, 1465.58, 1465.58, 1465.58, 1465.58
03/08/16, 1458.31, 1458.31, 1458.31, 1458.31
03/07/16, 1477.67, 1477.67, 1477.67, 1477.67
03/04/16, 1474.54, 1474.54, 1474.54, 1474.54
03/03/16, 1469.19, 1469.19, 1469.19, 1469.19
03/02/16, 1462.24, 1462.24, 1462.24, 1462.24
03/01/16, 1454.75, 1454.75, 1454.75, 1454.75
02/29/16, 1421.63, 1421.63, 1421.63, 1421.63
02/26/16, 1432.06, 1432.06, 1432.06, 1432.06
02/25/16, 1432.63, 1432.63, 1432.63, 1432.63
02/24/16, 1416.63, 1416.63, 1416.63, 1416.63
02/23/16, 1409.63, 1409.63, 1409.63, 1409.63
02/22/16, 1426.76, 1426.76, 1426.76, 1426.76
02/19/16, 1406.46, 1406.46, 1406.46, 1406.46
02/18/16, 1405.91, 1405.91, 1405.91, 1405.91
02/17/16, 1412.45, 1412.45, 1412.45, 1412.45
02/16/16, 1389.00, 1389.00, 1389.00, 1389.00
02/12/16, 1364.82, 1364.82, 1364.82, 1364.82
02/11/16, 1338.64, 1338.64, 1338.64, 1338.64
02/10/16, 1355.47, 1355.47, 1355.47, 1355.47
02/09/16, 1355.16, 1355.16, 1355.16, 1355.16
02/08/16, 1357.23, 1357.23, 1357.23, 1357.23
02/05/16, 1379.00, 1379.00, 1379.00, 1379.00
02/04/16, 1407.68, 1407.68, 1407.68, 1407.68
02/03/16, 1404.17, 1404.17, 1404.17, 1404.17
02/02/16, 1397.33, 1397.33, 1397.33, 1397.33
02/01/16, 1425.26, 1425.26, 1425.26, 1425.26
01/29/16, 1425.61, 1425.61, 1425.61, 1425.61
01/28/16, 1389.77, 1389.77, 1389.77, 1389.77
01/27/16, 1384.28, 1384.28, 1384.28, 1384.28
01/26/16, 1400.04, 1400.04, 1400.04, 1400.04
01/25/16, 1378.96, 1378.96, 1378.96, 1378.96
01/22/16, 1402.38, 1402.38, 1402.38, 1402.38
