Date,EDOW,EQAL,EQWL,EUSA,EWMC,EWSC,GSEW,ISMD,QQEW,QQQE,QQXT,QTEC,RCD,RGI,RHS,RSP,RTM,RYE,RYF,RYH,RYJ,RYT,RYU,UTRN,XNTK,NOBL,ONEY,PEY,QDEF,QDF,QDIV,QDYN,RDIV,RDVY,REGL,RNDV,RNLC,RNMC,RNSC,SDOG,SDVY,SDY,SMDV,SPDV,SPHD,SPYD,TDIV,VSDA,WBIY,XSHD
19/02/2003,376.9891,2373.04837,1861.43589,1861.43589,2373.04837,1454.075,1861.43589,1454.075,275.4057,275.4057,275.4057,3032.70677,176.5496,196.8224,231.9324,1861.43589,85.14305,225.8235,343.97687,313.1576,2373.04837,3032.70677,142.9983,1861.43589,3032.70677,376.9891,674.9964,674.9964,376.9891,376.9891,376.9891,376.9891,376.9891,376.9891,2373.04837,376.9891,1861.43589,2373.04837,1454.075,376.9891,674.9964,376.9891,1454.075,376.9891,376.9891,376.9891,3032.70677,1861.43589,674.9964,2382.407
20/02/2003,373.2624,2365.06574,1845.01151,1845.01151,2365.06574,1451.93,1845.01151,1451.93,273.2555,273.2555,273.2555,3024.47283,174.9654,195.1025,229.5241,1845.01151,85.12767,225.1704,341.33948,310.4052,2365.06574,3024.47283,143.7044,1845.01151,3024.47283,373.2624,672.4044,672.4044,373.2624,373.2624,373.2624,373.2624,373.2624,373.2624,2365.06574,373.2624,1845.01151,2365.06574,1451.93,373.2624,672.4044,373.2624,1451.93,373.2624,373.2624,373.2624,3024.47283,1845.01151,672.4044,2376.059
21/02/2003,378.0709,2398.03834,1869.51732,1869.51732,2398.03834,1470.624,1869.51732,1470.624,276.9892,276.9892,276.9892,3056.35346,177.9721,197.553,231.8989,1869.51732,86.88025,229.8063,345.57831,314.4417,2398.03834,3056.35346,144.8983,1869.51732,3056.35346,378.0709,681.7689,681.7689,378.0709,378.0709,378.0709,378.0709,378.0709,378.0709,2398.03834,378.0709,1869.51732,2398.03834,1470.624,378.0709,681.7689,378.0709,1470.624,378.0709,378.0709,378.0709,3056.35346,1869.51732,681.7689,2407.301
24/02/2003,371.3643,2358.33863,1836.04189,1836.04189,2358.33863,1445.867,1836.04189,1445.867,271.9853,271.9853,271.9853,3000.19643,173.1733,192.9554,228.4413,1836.04189,87.31274,231.2626,338.07539,308.9454,2358.33863,3000.19643,143.9303,1836.04189,3000.19643,371.3643,670.7266,670.7266,371.3643,371.3643,371.3643,371.3643,371.3643,371.3643,2358.33863,371.3643,1836.04189,2358.33863,1445.867,371.3643,670.7266,371.3643,1445.867,371.3643,371.3643,371.3643,3000.19643,1836.04189,670.7266,2366.424
25/02/2003,374.0081,2373.06217,1849.31044,1849.31044,2373.06217,1457.873,1849.31044,1457.873,273.9788,273.9788,273.9788,3005.06885,175.8269,194.7945,230.5877,1849.31044,86.85274,230.5053,340.50618,311.1314,2373.06217,3005.06885,145.1043,1849.31044,3005.06885,374.0081,674.8188,674.8188,374.0081,374.0081,374.0081,374.0081,374.0081,374.0081,2373.06217,374.0081,1849.31044,2373.06217,1457.873,374.0081,674.8188,374.0081,1457.873,374.0081,374.0081,374.0081,3005.06885,1849.31044,674.8188,2389.263
26/02/2003,369.3524,2348.712,1826.24193,1826.24193,2348.712,1445.189,1826.24193,1445.189,270.5544,270.5544,270.5544,2916.2195,173.923,192.9675,228.1003,1826.24193,87.01098,230.6173,336.17692,309.4798,2348.712,2916.2195,142.6267,1826.24193,2916.2195,369.3524,668.1323,668.1323,369.3524,369.3524,369.3524,369.3524,369.3524,369.3524,2348.712,369.3524,1826.24193,2348.712,1445.189,369.3524,668.1323,369.3524,1445.189,369.3524,369.3524,369.3524,2916.2195,1826.24193,668.1323,2367.841
27/02/2003,373.531,2374.76133,1847.96494,1847.96494,2374.76133,1459.253,1847.96494,1459.253,273.9228,273.9228,273.9228,2952.63108,176.4095,195.4728,229.4491,1847.96494,86.58111,229.5039,341.5956,314.2377,2374.76133,2952.63108,143.3966,1847.96494,2952.63108,373.531,674.6788,674.6788,373.531,373.531,373.531,373.531,373.531,373.531,2374.76133,373.531,1847.96494,2374.76133,1459.253,373.531,674.6788,373.531,1459.253,373.531,373.531,373.531,2952.63108,1847.96494,674.6788,2389.986
28/02/2003,374.8144,2388.25238,1856.8277,1856.8277,2388.25238,1455.647,1856.8277,1455.647,275.5916,275.5916,275.5916,2997.73586,177.9628,195.9421,228.2635,1856.8277,86.95255,230.2438,342.5953,315.3307,2388.25238,2997.73586,143.4223,1856.8277,2997.73586,374.8144,677.3887,677.3887,374.8144,374.8144,374.8144,374.8144,374.8144,374.8144,2388.25238,374.8144,1856.8277,2388.25238,1455.647,374.8144,677.3887,374.8144,1455.647,374.8144,374.8144,374.8144,2997.73586,1856.8277,677.3887,2382.106
03/03/2003,373.5379,2372.73008,1843.58174,1843.58174,2372.73008,1450.765,1843.58174,1450.765,272.6487,272.6487,272.6487,2950.38603,175.9481,195.192,226.573,1843.58174,87.1462,231.694,340.32137,312.8597,2372.73008,2950.38603,144.2205,1843.58174,2950.38603,373.5379,674.9088,674.9088,373.5379,373.5379,373.5379,373.5379,373.5379,373.5379,2372.73008,373.5379,1843.58174,2372.73008,1450.765,373.5379,674.9088,373.5379,1450.765,373.5379,373.5379,373.5379,2950.38603,1843.58174,674.9088,2377.244
04/03/2003,367.8498,2336.60221,1815.93332,1815.93332,2336.60221,1439.487,1815.93332,1439.487,268.6199,268.6199,268.6199,2914.37028,170.8074,192.0843,224.0806,1815.93332,86.69811,230.6649,335.42377,308.9835,2336.60221,2914.37028,143.1932,1815.93332,2914.37028,367.8498,664.3747,664.3747,367.8498,367.8498,367.8498,367.8498,367.8498,367.8498,2336.60221,367.8498,1815.93332,2336.60221,1439.487,367.8498,664.3747,367.8498,1439.487,367.8498,367.8498,367.8498,2914.37028,1815.93332,664.3747,2360.919
05/03/2003,371.2633,2344.07545,1832.7414,1832.7414,2344.07545,1439.727,1832.7414,1439.727,271.1001,271.1001,271.1001,2941.43883,172.2235,192.9172,222.9464,1832.7414,87.08138,233.2391,339.611,313.508,2344.07545,2941.43883,144.4906,1832.7414,2941.43883,371.2633,667.4385,667.4385,371.2633,371.2633,371.2633,371.2633,371.2633,371.2633,2344.07545,371.2633,1832.7414,2344.07545,1439.727,371.2633,667.4385,371.2633,1439.727,371.2633,371.2633,371.2633,2941.43883,1832.7414,667.4385,2363.256
06/03/2003,366.905,2334.84034,1816.58598,1816.58598,2334.84034,1428.971,1816.58598,1428.971,269.4692,269.4692,269.4692,2918.17055,170.7716,191.1297,221.0905,1816.58598,86.86509,232.8858,334.84691,312.6241,2334.84034,2918.17055,144.8693,1816.58598,2918.17055,366.905,663.7961,663.7961,366.905,366.905,366.905,366.905,366.905,366.905,2334.84034,366.905,1816.58598,2334.84034,1428.971,366.905,663.7961,366.905,1428.971,366.905,366.905,366.905,2918.17055,1816.58598,663.7961,2343.332
07/03/2003,369.7412,2349.529,1830.96926,1830.96926,2349.529,1430.411,1830.96926,1430.411,271.6509,271.6509,271.6509,2918.92396,173.5356,192.6871,221.5978,1830.96926,86.65717,233.1121,337.94483,316.6749,2349.529,2918.92396,144.9252,1830.96926,2918.92396,369.7412,667.9658,667.9658,369.7412,369.7412,369.7412,369.7412,369.7412,369.7412,2349.529,369.7412,1830.96926,2349.529,1430.411,369.7412,667.9658,369.7412,1430.411,369.7412,369.7412,369.7412,2918.92396,1830.96926,667.9658,2345.629
10/03/2003,360.0899,2297.36906,1785.09804,1785.09804,2297.36906,1405.588,1785.09804,1405.588,265.1166,265.1166,265.1166,2849.30582,169.4217,187.4286,217.9079,1785.09804,85.34373,230.0364,325.76953,310.4938,2297.36906,2849.30582,142.3051,1785.09804,2849.30582,360.0899,653.3589,653.3589,360.0899,360.0899,360.0899,360.0899,360.0899,360.0899,2297.36906,360.0899,1785.09804,2297.36906,1405.588,360.0899,653.3589,360.0899,1405.588,360.0899,360.0899,360.0899,2849.30582,1785.09804,653.3589,2308.086
11/03/2003,356.274,2271.45717,1770.14292,1770.14292,2271.45717,1401.669,1770.14292,1401.669,263.4538,263.4538,263.4538,2837.18876,167.7579,184.9192,219.8091,1770.14292,84.64292,228.8772,320.67712,307.4672,2271.45717,2837.18876,141.6826,1770.14292,2837.18876,356.274,645.5024,645.5024,356.274,356.274,356.274,356.274,356.274,356.274,2271.45717,356.274,1770.14292,2271.45717,1401.669,356.274,645.5024,356.274,1401.669,356.274,356.274,356.274,2837.18876,1770.14292,645.5024,2302.804
