Date,MKT,SMB,HML,MOM,BAB,QMJ
25/09/2003,-0.00820257,-0.013961629,-0.001698159,-0.005731177,0.012356394,0.006904397
26/09/2003,-0.008583277,-0.010854444,0.000290899,-0.004183811,0.01307936,0.006752212
29/09/2003,0.009706472,0.003456872,0.001476667,0.003791491,-0.000594802,-0.001280436
30/09/2003,-0.009255644,0.000622987,0.001997113,-0.002684461,0.007728687,0.001078667
01/10/2003,0.021062577,0.002349241,-0.000873054,0.001193661,0.004650822,0.002844301
02/10/2003,0.003209967,0.001887403,0.000264415,0.005522391,-0.005280521,-0.005378977
03/10/2003,0.009785654,0.004952401,-1.98E-06,0.013154625,-0.006567087,-0.001904602
06/10/2003,0.005226293,0.002927918,0.003554628,0.005685309,-0.003424866,-0.004345228
07/10/2003,0.005018485,0.00463406,-0.000139863,0.004438424,0.000353331,-0.002484384
08/10/2003,-0.00442717,-0.001797358,0.001713722,-0.000565206,-0.002638246,0.000265856
09/10/2003,0.005348525,0.003339386,0.003917647,0.004198177,-0.005445262,-0.00335818
10/10/2003,-3.53E-05,-0.003433682,0.005183286,0.003414901,0.000152672,-0.002029847
13/10/2003,0.007887179,0.007998221,0.000926301,0.004686473,0.000143446,-0.003133443
14/10/2003,0.004379475,0.00368013,0.001876678,0.002322108,-0.002417398,-0.00168839
15/10/2003,-0.003446198,-0.003260943,0.000403512,-0.001128591,0.000472532,0.002268027
16/10/2003,0.003630003,0.001188439,0.001178459,0.00109876,-0.002725936,0.001135575
17/10/2003,-0.010948581,-0.003332665,0.001853439,-0.009598538,0.009151529,0.007188298
20/10/2003,0.003926432,-0.001898718,-0.002153353,0.001773891,-0.001382757,0.005723976
21/10/2003,0.002515263,0.006171094,-0.002735865,0.006551478,-0.00425506,-0.004832887
22/10/2003,-0.014692078,-0.005375621,0.002494819,-0.005599071,0.008641969,0.004382299
23/10/2003,0.001360932,-0.005868395,-0.002111653,-0.007977939,0.010975853,0.007026091
24/10/2003,-0.004464149,-0.002229638,0.000504802,-0.003761349,0.002378903,0.000990832
27/10/2003,0.004115636,0.00994535,0.004824763,0.006491451,-0.002032553,-0.003046802
28/10/2003,0.01507614,0.004093892,-0.003528938,0.010871525,-0.007521655,-0.00443159
29/10/2003,0.002884779,0.00761655,0.002542431,0.00409567,0.001977251,-0.004304809
